,artist_no_tags,artistGGL,website
196,"San Jose State University ΓÇ£Art in CommunityΓÇÙ Students with Tony May, Instructor",['http://www.tonymay.net/'],
197,Paul J. Gonzalez,http://www.pauljgonzalezartstudios.com/,http://www.pauljgonzalezartstudios.com/
198,"MMAP (Mural Music and Arts Project), lead artist Sarah Woodward, students, staff, and parents of C├⌐sar Ch├´vez Academy and Ravenswood City School District",http://www.muralmusicarts.org/,http://www.muralmusicarts.org/
199,Orly Locquiao,['https://www.instagram.com/orlycukui/'],https://www.instagram.com/orlycukui/
200,"Nik Hafermaas, Dan Goods and Aaron Koblin",['http://www.ecloudproject.com/team.html/'],
201,"Banny Banerjee, Matt Gorbet, Susan LK Gorbet and Margaret Orth","['http://www.gorbetdesign.com/about.html','https://en.wikipedia.org/wiki/Maggie_Orth']",
202,Fernanda D'Agostino,['http://fernandadagostino.com/'],
203,Diller + Scofidio with Paul Lewis,[],
204,Roberto Delgado,['http://titodelgado.com/'],
205,Casey Gray,http://caseygray.com/,http://caseygray.com/
206,Kim Yasuda,['https://en.wikipedia.org/wiki/Kim_Yasuda'],
207,Scape Martinez (lead artist),"['http://www.muralmusicarts.org/', 'http://www.scapemartinez.com/']","['http://www.muralmusicarts.org/', 'http://www.sm-artgroup.com/']"
208,Sam Rodriguez,http://samrodriguezart.com/,http://samrodriguezart.com/
209,Mike Borja,http://mikeborja.tumblr.com/,http://mikeborja.tumblr.com/
210,David Bottini,[],
211,Shiela Ghidini,['http://sheilaghidini.com'],
212,Robert Dawson,['https://www.robertdawson.com/'],
213,Stephanie Azevedo,,
214,Douglas Hollis,['http://www.doxastic.com/douglas/''],
215,Nobi Nagasawa,['http://www.artnet.com/awc/nobuho-nagasawa.html'],
216,"['Liz Utson','Stephen DeStabler','Tom Aidala','Manuel Neri','Nathan Oliviera','Sam Hernandez','John Buck','A.D.M. Cooper', 'Julia Lord']","['http://www.stephendestaebler.com/', 'https://en.wikipedia.org/wiki/Tom_Aidala','https://en.wikipedia.org/wiki/Manuel_Neri', 'https://en.wikipedia.org/wiki/Nathan_Oliveira', 'http://www.samhernandezart.com/','https://en.wikipedia.org/wiki/John_E._Buck','http://historysanjose.org/wp/a-d-m-cooper-at-the-cantor/']",
217,Wowhause,['http://thewowhaus.com/'],
218,Larry Sultan and Mike Mandel,"['http://larrysultan.com/','https://en.wikipedia.org/wiki/Mike_Mandel']",
219,Opski Chan,['https://www.instagram.com/ohhpeeskee/'],https://www.instagram.com/ohhpeeskee/
220,Dana Albany,['https://www.danaalbanyart.com'],
221,Roger Ourthiague and Chris Anway,['http://www.rogerojr.com'],
222,Barbara Abbott,[],
